id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/31,credit-g,GAMA,5,0.811429,local,20.1.0,,stable,2020-06-24T23:23:33,2526.4,50,3498689770,,0.72,0.811429,0.515814
openml.org/t/31,credit-g,GAMA,6,0.820476,local,20.1.0,,stable,2020-06-24T23:28:28,2526.7,50,3904154870,,0.77,0.820476,0.50192
openml.org/t/31,credit-g,GAMA,7,0.837619,local,20.1.0,,stable,2020-06-24T23:28:28,2526.3,50,4215410668,,0.71,0.837619,0.511448
openml.org/t/31,credit-g,GAMA,8,0.799048,local,20.1.0,,stable,2020-06-24T23:28:40,2526.5,50,2130167258,,0.75,0.799048,0.506672
openml.org/t/31,credit-g,GAMA,9,0.78381,local,20.1.0,,stable,2020-06-24T23:28:57,2526.5,50,4278091189,,0.73,0.78381,0.512708
openml.org/t/168909,dilbert,GAMA,0,0.178939,local,20.1.0,,stable,2020-06-24T23:30:07,2539.8,50,3327415863,,0.944,,0.178939
openml.org/t/168909,dilbert,GAMA,1,0.161588,local,20.1.0,,stable,2020-06-24T23:30:33,2541.2,50,4085807850,,0.957,,0.161588
openml.org/t/168909,dilbert,GAMA,2,0.161344,local,20.1.0,,stable,2020-06-24T23:31:52,2543.2,50,2766430185,,0.958,,0.161344
openml.org/t/168909,dilbert,GAMA,3,0.188836,local,20.1.0,,stable,2020-06-24T23:31:36,2543.6,50,529000617,,0.936,,0.188836
openml.org/t/168909,dilbert,GAMA,4,0.177254,local,20.1.0,,stable,2020-06-24T23:33:17,2544.8,50,2732394564,,0.946,,0.177254
openml.org/t/168909,dilbert,GAMA,5,0.150785,local,20.1.0,,stable,2020-06-24T23:30:56,2539.5,50,1055650589,,0.953,,0.150785
openml.org/t/168909,dilbert,GAMA,6,0.179036,local,20.1.0,,stable,2020-06-24T23:32:43,2547.3,50,1876896616,,0.948,,0.179036
openml.org/t/168909,dilbert,GAMA,7,0.160425,local,20.1.0,,stable,2020-06-24T23:34:15,2543.2,50,3592954003,,0.951,,0.160425
openml.org/t/168909,dilbert,GAMA,8,0.13886,local,20.1.0,,stable,2020-06-24T23:33:51,2548.8,50,1458376415,,0.985,,0.13886
openml.org/t/168909,dilbert,GAMA,9,0.177891,local,20.1.0,,stable,2020-06-24T23:32:16,2544.0,50,285221974,,0.946,,0.177891
openml.org/t/168910,fabert,GAMA,0,0.716394,local,20.1.0,,stable,2020-06-24T23:30:50,2542.1,50,1946082482,,0.730583,,0.716394
openml.org/t/168910,fabert,GAMA,1,0.724023,local,20.1.0,,stable,2020-06-24T23:31:08,2548.4,50,513775241,,0.729369,,0.724023
openml.org/t/168910,fabert,GAMA,2,0.760588,local,20.1.0,,stable,2020-06-24T23:31:18,2545.3,50,3249448953,,0.724515,,0.760588
openml.org/t/168910,fabert,GAMA,3,0.741344,local,20.1.0,,stable,2020-06-24T23:32:04,2551.6,50,3365517262,,0.714806,,0.741344
openml.org/t/168910,fabert,GAMA,4,0.747542,local,20.1.0,,stable,2020-06-24T23:32:00,2542.5,50,4070019959,,0.724515,,0.747542
openml.org/t/168910,fabert,GAMA,5,0.701185,local,20.1.0,,stable,2020-06-24T23:33:05,2554.3,50,2934605589,,0.742718,,0.701185
openml.org/t/168910,fabert,GAMA,6,0.765064,local,20.1.0,,stable,2020-06-24T23:33:00,2545.0,50,244958126,,0.694175,,0.765064
openml.org/t/168910,fabert,GAMA,7,0.733217,local,20.1.0,,stable,2020-06-24T23:33:54,2554.2,50,3574132103,,0.7339,,0.733217
openml.org/t/168910,fabert,GAMA,8,0.785275,local,20.1.0,,stable,2020-06-24T23:32:37,2547.5,50,2333356239,,0.705954,,0.785275
openml.org/t/168910,fabert,GAMA,9,0.762989,local,20.1.0,,stable,2020-06-24T23:34:09,2546.0,50,2614593297,,0.703524,,0.762989
openml.org/t/146825,Fashion-MNIST,GAMA,0,0.413075,local,20.1.0,,stable,2020-06-25T01:12:13,2561.2,50,1552243505,,0.863429,,0.413075
openml.org/t/146825,Fashion-MNIST,GAMA,1,0.363739,local,20.1.0,,stable,2020-06-25T01:12:53,2575.1,50,1837633092,,0.879,,0.363739
